machine_id,machine_name,slot_code,vms_product_id,vms_product_name,current_qty,capacity,last_updated
VMS_MACHINE_ID_TBD_001,Hospital Machine 01,A1,VMS_WATER_500,Water 500ml,2,12,2026-05-09
VMS_MACHINE_ID_TBD_001,Hospital Machine 01,A2,VMS_WATER_500,Water 500ml,6,12,2026-05-09
VMS_MACHINE_ID_TBD_001,Hospital Machine 01,A3,VMS_PEPSI_330,Pepsi Can 330ml,1,10,2026-05-09
VMS_MACHINE_ID_TBD_001,Hospital Machine 01,B3,VMS_BISCUIT,Biscuit Pack,0,10,2026-05-09
VMS_MACHINE_ID_TBD_002,Mall Machine 01,A1,VMS_WATER_500,Water 500ml,5,12,2026-05-09
VMS_MACHINE_ID_TBD_002,Mall Machine 01,B1,VMS_CHIPS_HOT,Hot Chips,0,10,2026-05-09
VMS_MACHINE_ID_TBD_002,Mall Machine 01,C2,VMS_SNICKERS,Snickers,3,8,2026-05-09
VMS_MACHINE_ID_TBD_003,Mall Machine 02,A4,VMS_ENERGY_DRINK,Energy Drink,2,8,2026-05-09
VMS_MACHINE_ID_TBD_004,Mixed Location Machine 01,B2,VMS_CHIPS_SALT,Salted Chips,1,10,2026-05-09
VMS_MACHINE_ID_TBD_005,School Machine 01,A1,VMS_WATER_500,Water 500ml,0,12,2026-05-09
VMS_MACHINE_ID_TBD_005,School Machine 01,B1,VMS_CHIPS_HOT,Hot Chips,2,10,2026-05-09
