AppSheet_Item_ID,AppSheet_Item_Name,Clean Name,Name Key
0087,mr.bite strike,mr.bite strike,mrbitestrike
0086,Mrbeast,mrbeast,mrbeast
0083,Doritos real,doritos real,doritosreal
0082,L suntop,l suntop,lsuntop
0081,Smsm,smsm,smsm
0080,Yasmin Penuts,yasmin penuts,yasminpenuts
0079,Yasmin Almonds,yasmin almonds,yasminalmonds
0078,Mulino Cookis,mulino cookis,mulinocookis
0077,Saminsa,saminsa,saminsa
0076,koren Indomie,koren indomie,korenindomie
0075,Twix ex,twix ex,twixex
0074,HiPro,hipro,hipro
0073,Rani,rani,rani
0072,Roshetto,roshetto,roshetto
0071,MrCrunch-RingGo,mrcrunch-ringgo,mrcrunchringgo
0070,Indomie,indomie,indomie
0069,ToraBika capp,torabika capp,torabikacapp
0067,Nuts,nuts,nuts
0065,Dallas juice,dallas juice,dallasjuice
0064,SunTop Almarai Strawberry,suntop almarai strawberry,suntopalmaraistrawberry
0063,PopCorn Chocolate,popcorn chocolate,popcornchocolate
0062,Jannaty,jannaty,jannaty
0061,Prime,prime,prime
0060,zigi marinated peanuts,zigi marinated peanuts,zigimarinatedpeanuts
0059,Toren Dark Chocolate,toren dark chocolate,torendarkchocolate
0058,Today Chocolate,today chocolate,todaychocolate
0057,ifruit juice,ifruit juice,ifruitjuice
0056,Bourbon biscuit,bourbon biscuit,bourbonbiscuit
0055,Tropia,tropia,tropia
0054,Mirinda apple,mirinda apple,mirindaapple
0053,7up,7up,7up
0052,MR Crunch cheese,mr crunch cheese,mrcrunchcheese
0051,Justo Drink,justo drink,justodrink
0050,Ivsar water,ivsar water,ivsarwater
0049,Haribo,haribo,haribo
0048,Kinder bueno1stick,kinder bueno1stick,kinderbueno1stick
0046,Chocolate Drink,chocolate drink,chocolatedrink
0045,Natural Grape,natural grape,naturalgrape
0044,Caser Juice,caser juice,caserjuice
0043,MrCrunch,mrcrunch,mrcrunch
0042,Green,green,green
0041,Pretzels,pretzels,pretzels
0040,KitKat,kitkat,kitkat
0039,Feiny Biscuits,feiny biscuits,feinybiscuits
0038,Lovita cookies,lovita cookies,lovitacookies
0037,Digestive,digestive,digestive
0036,Kunuz Juice,kunuz juice,kunuzjuice
