LineID,PurchaseID,ItemID,QtyPieces,UnitCost,BoxesQty,ReceivedUnits,PackSizeUsed
de4274b0,7540564a,0002,24,0.3,,,
d88c18d7,e4f3d129,0054,48,2.25,,,
cc41b087,d8c20488,0001,45,2.8,,,
a87db1de,d8c20488,0006,12,3.08,,,
d67a92b4,d8c20488,e7e30487,12,,,,
e24897ed,d8c20488,52c15a06,12,,,,
2ad3e243,d8c20488,492147d3,12,,,,
4c98f272,d8c20488,e509f31d,12,,,,
4c70cb96,d8c20488,0012,63,0.6,,,
d9164d52,d8c20488,0021,24,2.2,,,
3091f055,79358019,d0a21a3b,30,,,,
884225d3,79358019,0038,16,5.18,,,
09aba97d,79358019,d0f577e2,90,,,,
6fbe4dd1,79358019,2f2e7440,24,,,,
ebeb7d18,79358019,0049,48,1.75,,,
33ff159b,502fe255,9f3ec79c,12,3.08,,,
6f16bfb6,502fe255,492147d3,12,3.08,,,
1726c2f6,502fe255,0053,24,2.25,,,
d86c066e,502fe255,,,,,,
3030ae91,f90805d4,0002,60,0.3,,,
9ee14931,cbe3bbe0,0002,120,0.3,,,
a9890fee,2350a15d,0011,48,3.5,,,
d45ae5aa,2350a15d,e509f31d,12,3.08,,,
186d011c,8bb56d46,0012,42,0.6,,,
c32bbb2e,8bb56d46,73c36157,24,1.58,,,
9ac0a0fb,8bb56d46,0082,21,0.95,,,
,,,,,,,
,,,,,,,
73146ede,26e12fc1,0018,18,24,,,
4cb3333c,26e12fc1,cc35c9db,24,8,,,
89353fbf,26e12fc1,0025,25,4.64,,,
3d92ce96,26e12fc1,0049,120,1.93,,,
beb47fe7,26e12fc1,0087,24,1.87,,,
955c07f9,26e12fc1,0014,,5.9,,,
8c20a516,26e12fc1,0003,25,4.88,,,
b74c94c2,26e12fc1,0012,126,0.6,,,
c5bb5dc1,0dd58d41,0064,54,2.08,,,
52a9cb09,0dd58d41,0032,54,2,,,
64c53b9b,0dd58d41,0044,24,4.13,,,
43e7724a,0dd58d41,0005,24,2,,,
05566abd,0dd58d41,0030,24,4.45,,,
3e88a858,0dd58d41,0028,24,4.45,,,
feea4dff,cf725f29,0006,12,3.08,,,
fa510f29,cf725f29,492147d3,24,3.08,,,
49018bd2,cf725f29,9f3ec79c,24,3.08,,,
20385cd5,cf725f29,e7e30487,24,3.08,,,
ac520d1c,cf725f29,12b96290,15,2.8,,,
fbcb6dfc,cf725f29,d5b5f9d1,90,2.6,,,
9c64c4df,cf725f29,0001,15,2.8,,,
084717dc,cf725f29,0021,48,2.25,,,
71866b1b,42529802,0002,360,0.3,,,
2434bd77,0dd58d41,78233e6f,24,3.17,,,
e3a0c2be,26e12fc1,0003,25,4.88,,,
89cf891d,d8a0d688,f2959682,20,1,,,
0d8c8697,9a1d5732,f2959682,10,1,,,
17fe33a9,ea773df4,52149040,10,2,,,
