PurchaseID,DateTime,OperatorEmail,Supplier,ReceiptTotal,CalculatedTotal,ReceiptPhoto,Notes
7540564a,2025-12-31 00:00:00,zegallai911@gmail.com,غداية,9,7,Purchases_Images/7540564a.ReceiptPhoto.222652.jpg,
e4f3d129,2025-12-30 00:00:00,zegallai911@gmail.com,عبادي,110,108,Purchases_Images/e4f3d129.ReceiptPhoto.225623.jpg,
d8c20488,2025-12-30 00:00:00,zegallai911@gmail.com,نعمي,402,254,Purchases_Images/d8c20488.ReceiptPhoto.225947.jpg,
79358019,2025-12-30 00:00:00,zegallai911@gmail.com,متحدة,323,167,Purchases_Images/79358019.ReceiptPhoto.230459.jpg,
502fe255,2026-01-01 00:00:00,zegallai911@gmail.com,نعمي,138,128,Purchases_Images/502fe255.ReceiptPhoto.083824.jpg,
f90805d4,2025-12-31 00:00:00,zegallai911@gmail.com,غدائية,22,18,Purchases_Images/f90805d4.ReceiptPhoto.084029.jpg,
cbe3bbe0,2026-01-01 00:00:00,zegallai911@gmail.com,المزن,45,36,Purchases_Images/cbe3bbe0.ReceiptPhoto.085135.jpg,
2350a15d,2026-01-02 00:00:00,anasgherfal@gmail.com,مكة,224,205,Purchases_Images/2350a15d.ReceiptPhoto.145132.jpg,
8bb56d46,2026-01-02 00:00:00,anasgherfal@gmail.com,مكة,87,83,Purchases_Images/8bb56d46.ReceiptPhoto.194016.jpg,
,,,,,,,
26e12fc1,2026-01-03 00:00:00,anasgherfal@gmail.com,المتحدة,1456,432,Purchases_Images/26e12fc1.ReceiptPhoto.101845.jpg,
0dd58d41,2026-01-03 00:00:00,anasgherfal@gmail.com,,732,112,Purchases_Images/0dd58d41.ReceiptPhoto.104816.jpg,
cf725f29,2026-01-03 00:00:00,anasgherfal@gmail.com,النعمي,722,535,Purchases_Images/cf725f29.ReceiptPhoto.150303.jpg,
42529802,2026-01-03 00:00:00,anasgherfal@gmail.com,,114,108,Purchases_Images/42529802.ReceiptPhoto.213549.jpg,
7004caab,2026-01-04 00:00:00,anasgherfal@gmail.com,النعمي,400,126,Purchases_Images/7004caab.ReceiptPhoto.145628.jpg,
0794e57a,2026-01-04 00:00:00,anasgherfal@gmail.com,المتحدة,501,333,Purchases_Images/0794e57a.ReceiptPhoto.190617.jpg,
124eb9f1,2026-01-05 00:00:00,anasgherfal@gmail.com,,488,445,Purchases_Images/124eb9f1.ReceiptPhoto.083303.jpg,
a0fd0688,2026-01-05 00:00:00,anasgherfal@gmail.com,النعمي,162,162,Purchases_Images/a0fd0688.ReceiptPhoto.084532.jpg,
91e45f89,2026-01-05 00:00:00,anasgherfal@gmail.com,,12,11,Purchases_Images/91e45f89.ReceiptPhoto.131941.jpg,
e92c9a87,2026-01-05 00:00:00,anasgherfal@gmail.com,المتحدة,245,148,Purchases_Images/e92c9a87.ReceiptPhoto.175726.jpg,
f083a594,2026-01-05 00:00:00,anasgherfal@gmail.com,مياه,105,108,Purchases_Images/f083a594.ReceiptPhoto.184239.jpg,
89b6dac5,2026-01-10 00:00:00,anasgherfal@gmail.com,المتحدة,158,0,Purchases_Images/89b6dac5.ReceiptPhoto.100133.jpg,
ac1c5cd1,2026-01-10 00:00:00,anasgherfal@gmail.com,النعمي,979,755,Purchases_Images/ac1c5cd1.ReceiptPhoto.102845.jpg,
f7d5fa28,2026-01-17 00:00:00,anasgherfal@gmail.com,,762,162,Purchases_Images/f7d5fa28.ReceiptPhoto.161649.jpg,
4d039dc9,2026-01-17 00:00:00,anasgherfal@gmail.com,,232,50,Purchases_Images/4d039dc9.ReceiptPhoto.161715.jpg,
fdf7f301,2026-01-22 00:00:00,anasgherfal@gmail.com,النعمي,562,100,Purchases_Images/fdf7f301.ReceiptPhoto.151807.jpg,
734ff3d1,2026-01-22 00:00:00,anasgherfal@gmail.com,,652,252,Purchases_Images/734ff3d1.ReceiptPhoto.151905.jpg,
1ce7341e,2026-01-22 00:00:00,anasgherfal@gmail.com,المتحدة,719,210,Purchases_Images/1ce7341e.ReceiptPhoto.151958.jpg,
0bfbcdf8,2026-01-22 00:00:00,anasgherfal@gmail.com,المتحدة,531,42,Purchases_Images/0bfbcdf8.ReceiptPhoto.152053.jpg,
6a3aa8bd,2026-01-22 00:00:00,anasgherfal@gmail.com,المتحدة,94,94,Purchases_Images/6a3aa8bd.ReceiptPhoto.152121.jpg,
a20743b8,2026-01-22 00:00:00,anasgherfal@gmail.com,المتحدة,487,282,Purchases_Images/a20743b8.ReceiptPhoto.152258.jpg,
ed3a5920,2026-01-22 00:00:00,anasgherfal@gmail.com,الجودة,352,54,Purchases_Images/ed3a5920.ReceiptPhoto.152345.jpg,
95c7360c,2026-01-27 00:00:00,anasgherfal@gmail.com,النعمي,175,0,Purchases_Images/95c7360c.ReceiptPhoto.131111.jpg,
b3935ba3,2026-01-27 00:00:00,anasgherfal@gmail.com,الجودة,858,76,Purchases_Images/b3935ba3.ReceiptPhoto.152747.jpg,
41556c2c,2026-01-27 00:00:00,anasgherfal@gmail.com,المتحدة,957,122,Purchases_Images/41556c2c.ReceiptPhoto.152814.jpg,
14f9bebd,2026-01-27 00:00:00,anasgherfal@gmail.com,,95,90,Purchases_Images/14f9bebd.ReceiptPhoto.152948.jpg,
74a12150,1/30/2026,anasgherfal@gmail.com,المتحدة,168,54,Purchases_Images/74a12150.ReceiptPhoto.173238.jpg,
c0422ab4,1/30/2026,anasgherfal@gmail.com,,134,100,Purchases_Images/c0422ab4.ReceiptPhoto.173401.jpg,
fc17b57a,1/31/2026,anasgherfal@gmail.com,المتحدة,893,162,Purchases_Images/fc17b57a.ReceiptPhoto.173617.jpg,
fe1e1aa7,2/1/2026,anasgherfal@gmail.com,,54,0,Purchases_Images/fe1e1aa7.ReceiptPhoto.173713.jpg,
6fd29f74,1/30/2026,anasgherfal@gmail.com,,411,0,Purchases_Images/6fd29f74.ReceiptPhoto.173808.jpg,
cfbae1fe,1/31/2026,anasgherfal@gmail.com,النعمي,598,150,Purchases_Images/cfbae1fe.ReceiptPhoto.173905.jpg,
afbcc7d1,1/31/2026,anasgherfal@gmail.com,الجودة,693,0,Purchases_Images/afbcc7d1.ReceiptPhoto.173941.jpg,
a325dbef,2/1/2026,anasgherfal@gmail.com,المتحدة,218,0,Purchases_Images/a325dbef.ReceiptPhoto.174038.jpg,
c6aff753,2/2/2026,anasgherfal@gmail.com,,902,1,Purchases_Images/c6aff753.ReceiptPhoto.090920.jpg,
31ff09fe,2/2/2026,anasgherfal@gmail.com,جينيفيا,470,470,Purchases_Images/31ff09fe.ReceiptPhoto.092603.jpg,
e7b42511,2/2/2026,anasgherfal@gmail.com,الجودة,131,1,Purchases_Images/e7b42511.ReceiptPhoto.092646.jpg,
8a70271d,2/2/2026,anasgherfal@gmail.com,جينيفيا,329,329,Purchases_Images/8a70271d.ReceiptPhoto.093239.jpg,
a5df8846,2/3/2026,anasgherfal@gmail.com,,601,1,Purchases_Images/a5df8846.ReceiptPhoto.154653.jpg,
