date,transaction,money_flow,transaction_type,location,transaction_description,signed_amount,auto_bucket,bucket_override,final_bucket
2024-12-08,1943,Money In,Revenue,deplomacyMall,قيمة اول 5 ايام,1943,Inflow,TO_CONFIRM,Inflow
2024-12-15,779,Money In,Revenue,deplomacyMall,TO_CONFIRM,779.0,Inflow,TO_CONFIRM,Inflow
2024-12-18,20,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-20.0,Inventory,TO_CONFIRM,Inventory
2024-08-19,46,Money Out,TO_CONFIRM,TO_CONFIRM,مياه + لصقة دبل فيس,-46.0,Review,TO_CONFIRM,Review
2024-08-20,1225,Money In,Revenue,deplomacyMall,TO_CONFIRM,1225.0,Inflow,TO_CONFIRM,Inflow
2024-08-21,180,Money Out,TO_CONFIRM,TO_CONFIRM,طباعة توربو للايت بوكس,-180.0,Review,TO_CONFIRM,Review
2024-08-21,2500,Money In,ads,TO_CONFIRM, دعاية توربو ( من نص 9 الى نص 12),2500.0,Inflow,TO_CONFIRM,Inflow
2024-08-24,50,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-50.0,Review,TO_CONFIRM,Review
2024-08-24,50,Money In,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,50.0,Review,TO_CONFIRM,Review
2024-08-24,40,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-40.0,Inventory,TO_CONFIRM,Inventory
2024-08-26,1140,Money Out,Product Restocking,TO_CONFIRM,بضاعه ,-1140.0,Inventory,TO_CONFIRM,Inventory
2024-08-26,900,Money In,Revenue,deplomacyMall,TO_CONFIRM,900.0,Inflow,TO_CONFIRM,Inflow
2024-08-29,60,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-60.0,Inventory,TO_CONFIRM,Inventory
2024-08-31,18,Money Out,Product Restocking,TO_CONFIRM,بضاعه (مياه),-18.0,Inventory,TO_CONFIRM,Inventory
2024-08-31,1158,Money In,Revenue,deplomacyMall,TO_CONFIRM,1158.0,Inflow,TO_CONFIRM,Inflow
2024-08-31,15,Money In,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,15.0,Review,TO_CONFIRM,Review
2024-08-31,15,Money Out,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM,-15.0,Review,TO_CONFIRM,Review
2024-09-01,190,Money Out,TO_CONFIRM,TO_CONFIRM,تعديل الميزانيه,-190.0,Review,TO_CONFIRM,Review
2024-09-01,827,Money Out,Product Restocking,TO_CONFIRM,بضاعه ,-827.0,Inventory,TO_CONFIRM,Inventory
