MonthDate,Source,Month,MoneyIn_LYD,MoneyOut_LYD,NetCashFlow_LYD,NetProfit_Recognized_LYD,Revenue_LYD,AdsCashIn_LYD,AdsRecognized_LYD,Restocking_LYD,OtherIn_LYD,OtherOut_LYD
45505,,08/24,5848,1549,4299,1799,3283,2500,0,1258,65,291
45536,,09/24,10159,7071.25,3087.75,3087.75,10159,0,0,6801.25,0,270
45566,,10/24,0,1875,-1875,-816.1764706,0,0,1058.823529,0,0,1875
45597,,11/24,836,1164,-328,730.8235294,836,0,1058.823529,1094,0,70
45627,,12/24,19053,3905,15148,13706.82353,7553,2500,1058.823529,3190,9000,715
45658,,01/25,8288,26468,-18180,-17121.17647,8288,0,1058.823529,5181,0,21287
45689,,02/25,7815,9463,-1648,-589.1764706,7480,0,1058.823529,4109,335,5354
45717,,03/25,11745,8320,3425,2983.823529,8925,1500,1058.823529,6223,1320,2097
45748,,04/25,17897,14526,3371,2929.823529,15847,1500,1058.823529,11636,550,2890
45778,,05/25,13026,21408,-8382,-7323.176471,8426,0,1058.823529,4658,4600,16750
45809,,06/25,24112,15187,8925,6983.823529,21112,3000,1058.823529,11777,0,3410
45839,,07/25,22450,16198,6252,4310.823529,19450,3000,1058.823529,11199,0,4999
45870,,08/25,19920,16367,3553,5468.966387,19750,0,1915.966387,9841,170,6526
45901,,09/25,22927,9746,13181,5096.966387,12927,10000,1915.966387,8666,0,1080
45931,,10/25,20312,20534,-222,1693.966387,20312,0,1915.966387,13859,0,6675
45962,,11/25,16760,24882,-8122,-6206.033613,16760,0,1915.966387,7461,0,17421
45992,,12/25,21627,21646,-19,1896.966387,21627,0,1915.966387,11706,0,9940
46023,,,,,,,,,,,,
46054,,,,,,,,,,,,
46082,,,,,,,,,,,,
46113,,,,,,,,,,,,
46143,,,,,,,,,,,,
