Month,Machine,Sales,Profit,Units,AdsIncome,Rent,NetProfit,AvgPrice,SPI_Traffic,SPI_Profit,SPI_Final,Rank,Status,ActionHint
46082,Attahadi Universty,1100.5,439.36,261,,0,439.36,4.216475096,100,100,61.68659004,1,🟢 Strong,OK
46082,DPMall,8138,3449.24,2370,1000,500,3949.24,3.433755274,52.37569061,73.06155372,32.79891647,4,🔴 Action Needed,Traffic issue → location/product mix
46082,HospAlmoa,4712,1626.18,1387,,,1626.18,3.397260274,30.6519337,30.08458271,19.75006433,13,🔴 Action Needed,Profit issue → pricing/cost/rent
46082,HTLand,6489,2587.57,2024,1000,,3587.57,3.206027668,44.72928177,66.37060251,28.11998013,5,🔴 Action Needed,Traffic issue → location/product mix
46082,HTMall,14909,6405.36,4525,,1000,5405.36,3.29480663,100,100,61.31792265,1,🟢 Strong,OK
46082,Istiklal,4122.5,1445.9,1339,,,1445.9,3.078790142,29.59116022,26.74937469,18.98621219,16,🔴 Action Needed,Profit issue → pricing/cost/rent
46082,SeaCost2,811,447.8,176,,,447.8,4.607954545,3.889502762,8.284369589,4.176883476,24,🔴 Action Needed,Traffic issue → location/product mix
46054,Attahadi Universty,4357.5,1306.17,1279,,0,1306.17,3.406958561,100,100,61.36278342,1,🟢 Strong,OK
46054,DPMall,2251,1015.1,716,1000,500,1515.1,3.143854749,15.82320442,28.02958545,10.75146455,15,🔴 Action Needed,Traffic issue → location/product mix
46054,HospAlmoa,4244,1368.57,1262,,,1368.57,3.362916006,27.88950276,25.31875768,18.07886806,17,🔴 Action Needed,Profit issue → pricing/cost/rent
46054,HTLand,7421,2969.46,2264,,,2969.46,3.277826855,50.03314917,54.93547146,31.33102024,7,🔴 Action Needed,Traffic issue → location/product mix
46054,HTMall,4149.5,1639.68,1493,1000,1000,1639.68,2.779303416,32.99447514,30.33433481,20.90840645,12,🔴 Action Needed,Profit issue → pricing/cost/rent
