Month,Machine,Product,Sales,Profit,Units,AvgPrice,ProfitPerUnit,SPI_Units,SPI_Profit,SPI_Final
45658,DPMall,Al Ain can,89,89,33,2.696969697,2.696969697,6.991525424,10.85365854,8.729485325
45658,DPMall,Al Nada cake,163,163,163,1,1,34.53389831,19.87804878,27.93876602
45658,DPMall,Boss Energy drink,48,48,16,3,3,3.389830508,5.853658537,4.498553121
45658,DPMall,Dark blue energy,57,57,19,3,3,4.025423729,6.951219512,5.342031831
45658,DPMall,Donut cake,80,80,80,1,1,16.94915254,9.756097561,13.7122778
45658,DPMall,Freez drink,95,95,21,4.523809524,4.523809524,4.449152542,11.58536585,7.660448532
45658,DPMall,Gardena,101,101,21,4.80952381,4.80952381,4.449152542,12.31707317,7.989716825
45658,DPMall,GoOn Energy chocolate,3,3,1,3,3,0.2118644068,0.3658536585,0.2811595701
45658,DPMall,Green,181,181,46,3.934782609,3.934782609,9.745762712,22.07317073,15.29309632
45658,DPMall,Laviva,566,566,283,2,2,59.95762712,69.02439024,64.03767053
45658,DPMall,Masa suntop,333,333,320,1.040625,1.040625,67.79661017,40.6097561,55.56252584
45658,DPMall,Milk & cereals loacker,19,19,7,2.714285714,2.714285714,1.483050847,2.317073171,1.858360893
45658,DPMall,Mr Crunch,420,420,108,3.888888889,3.888888889,22.88135593,51.2195122,35.63352625
45658,DPMall,Mr Crunch cheez top,200,200,50,4,4,10.59322034,24.3902439,16.80188094
45658,DPMall,Roshen Chocolate,97,97,34,2.852941176,2.852941176,7.203389831,11.82926829,9.285035138
45658,DPMall,SunTop Saudi,396,396,396,1,1,83.89830508,48.29268293,67.87577511
45658,DPMall,Takis,820,820,46,17.82608696,17.82608696,9.745762712,100,50.36016949
45658,DPMall,Tiger Medium 16,77,77,19,4.052631579,4.052631579,4.025423729,9.390243902,6.439592807
45658,DPMall,Tiger Small,6,6,2,3,3,0.4237288136,0.7317073171,0.5623191401
45658,DPMall,Tiger excellence *10,430,430,88,4.886363636,4.886363636,18.6440678,52.43902439,33.85179826
45658,DPMall,Wafe up extra,146,146,71,2.056338028,2.056338028,15.04237288,17.80487805,16.28550021
45658,DPMall,Wanted chocolate,28,28,14,2,2,2.966101695,3.414634146,3.167941298
45658,DPMall,Water,472,472,472,1,1,100,57.56097561,80.90243902
45658,DPMall,Wild Power Energy 500ml,330,330,66,5,5,13.98305085,40.24390244,25.80043406
45658,DPMall,Wild Power Energy drink,185,185,61,3.032786885,3.032786885,12.92372881,22.56097561,17.26048987
45658,DPMall,X!R,583,583,144,4.048611111,4.048611111,30.50847458,71.09756098,48.77356346
45658,DPMall,X!R 500ml,153,153,24,6.375,6.375,5.084745763,18.65853659,11.19295163
45658,DPMall,drFood Stix,113,113,43,2.627906977,2.627906977,9.110169492,13.7804878,11.21181273
45658,DPMall,festa,6,6,2,3,3,0.4237288136,0.7317073171,0.5623191401
45658,DPMall,kinza,58,58,29,2,2,6.144067797,7.073170732,6.562164117
45658,DPMall,maxxx chips 65g,392,392,79,4.962025316,4.962025316,16.73728814,47.80487805,30.7177036
45658,DPMall,mr bite,93,93,47,1.978723404,1.978723404,9.957627119,11.34146341,10.58035345
45658,DPMall,ono cake,88,88,88,1,1,18.6440678,10.73170732,15.08350558
45658,DPMall,popcorn funday,190,190,38,5,5,8.050847458,23.17073171,14.85479537
45658,DPMall,popcorn pizza funday,15,15,3,5,5,0.6355932203,1.829268293,1.172747003
45658,DPMall,sitos 90g,59,59,10,5.9,5.9,2.118644068,7.195121951,4.403059115
45658,DPMall,tiger chips *12,608,608,152,4,4,32.20338983,74.14634146,51.07771807
45689,DPMall,Al Ain can,57,57,19,3,3,5.23415978,7.421875,6.218631629
45689,DPMall,Boss Energy drink,57,57,19,3,3,5.23415978,7.421875,6.218631629
45689,DPMall,Freez drink,105,105,21,5,5,5.785123967,13.671875,9.334161932
45689,DPMall,Gardena,79,79,18,4.388888889,4.388888889,4.958677686,10.28645833,7.356178977
45689,DPMall,Green,68,68,17,4,4,4.683195592,8.854166667,6.560132576
45689,DPMall,Laviva,80,80,40,2,2,11.01928375,10.41666667,10.74810606
45689,DPMall,Marshmellow sweetBag,27,27,9,3,3,2.479338843,3.515625,2.945667614
45689,DPMall,Masa suntop,218,218,201,1.084577114,1.084577114,55.37190083,28.38541667,43.22798295
45689,DPMall,Milk & cereals loacker,18,18,6,3,3,1.652892562,2.34375,1.963778409
45689,DPMall,Mr Crunch,443,443,107,4.140186916,4.140186916,29.47658402,57.68229167,42.16915246
45689,DPMall,Mr Crunch cheez top,200,200,50,4,4,13.77410468,26.04166667,19.29450758
45689,DPMall,Roshen Chocolate,87,87,29,3,3,7.988980716,11.328125,9.491595644
45689,DPMall,Spuds noraml,41,41,8,5.125,5.125,2.203856749,5.338541667,3.614464962
45689,DPMall,SunTop Saudi,313,313,313,1,1,86.22589532,40.75520833,65.76408617
45689,DPMall,Takis,768,768,40,19.2,19.2,11.01928375,100,51.06060606
45689,DPMall,Tiger Medium 16,93,93,31,3,3,8.539944904,12.109375,10.14618845
45689,DPMall,Tiger excellence *10,268,268,54,4.962962963,4.962962963,14.87603306,34.89583333,23.88494318
45689,DPMall,Tiger excellence super jambo,50,50,10,5,5,2.754820937,6.510416667,4.444839015
45689,DPMall,Wafe up extra,138,138,69,2,2,19.00826446,17.96875,18.54048295
45689,DPMall,Water,334,334,334,1,1,92.01101928,43.48958333,70.17637311
45689,DPMall,Wild Power Energy 500ml,40,40,8,5,5,2.203856749,5.208333333,3.555871212
45689,DPMall,Wild Power Energy drink,138,138,46,3,3,12.67217631,17.96875,15.05563447
45689,DPMall,X!R,578,578,144,4.013888889,4.013888889,39.66942149,75.26041667,55.68536932
45689,DPMall,X!R 500ml,146,146,25,5.84,5.84,6.887052342,19.01041667,12.34256629
45689,DPMall,boba tea,48,48,4,12,12,1.101928375,6.25,3.418560606
45689,DPMall,bonart sour,138,138,34,4.058823529,4.058823529,9.366391185,17.96875,13.23745265
45689,DPMall,drFood Stix,105,105,35,3,3,9.641873278,13.671875,11.45537405
45689,DPMall,festa,21,21,7,3,3,1.928374656,2.734375,2.291074811
45689,DPMall,flik flak,363,363,363,1,1,100,47.265625,76.26953125
45689,DPMall,helo kitty,30,30,5,6,6,1.377410468,3.90625,2.515388258
45689,DPMall,kinder bueno,310,310,62,5,5,17.07988981,40.36458333,27.55800189
45689,DPMall,kinder country,57,57,19,3,3,5.23415978,7.421875,6.218631629
45689,DPMall,kinza,138,138,69,2,2,19.00826446,17.96875,18.54048295
45689,DPMall,m&m's,124,124,31,4,4,8.539944904,16.14583333,11.9625947
45689,DPMall,maxxx chips 65g,55,55,11,5,5,3.03030303,7.161458333,4.889322917
45689,DPMall,monster energy,9,9,1,9,9,0.2754820937,1.171875,0.6788589015
45689,DPMall,mr bite,198,198,95,2.084210526,2.084210526,26.1707989,25.78125,25.99550189
45689,DPMall,ono cake,61,61,61,1,1,16.80440771,7.942708333,12.81664299
45689,DPMall,pattes chips,78,78,13,6,6,3.581267218,10.15625,6.54000947
45689,DPMall,pepsi 500ml,108,108,36,3,3,9.917355372,14.0625,11.78267045
45689,DPMall,popcorn pizza funday,84,84,18,4.666666667,4.666666667,4.958677686,10.9375,7.649147727
45689,DPMall,pringles,6,6,1,6,6,0.2754820937,0.78125,0.5030776515
45689,DPMall,schweppers,24,24,8,3,3,2.203856749,3.125,2.618371212
45689,DPMall,shani 500ml,24,24,8,3,3,2.203856749,3.125,2.618371212
45689,DPMall,skittles,164,164,41,4,4,11.29476584,21.35416667,15.82149621
45689,DPMall,sprite,2,2,1,2,2,0.2754820937,0.2604166667,0.2687026515
45689,DPMall,tiger chips *12,691,691,174,3.971264368,3.971264368,47.9338843,89.97395833,66.85191761
45689,DPMall,vivaldi,44,44,22,2,2,6.060606061,5.729166667,5.911458333
45689,DPMall,xo energy,156,156,31,5.032258065,5.032258065,8.539944904,20.3125,13.8375947
45717,DPMall,Al rihan,90,90,90,1,1,15,7.481296758,11.61658354
45717,DPMall,Barbican,24,24,6,4,4,1,1.995012469,1.447755611
45717,DPMall,Chotos,100,100,28,3.571428571,3.571428571,4.666666667,8.312551953,6.307315046
