machine_id,machine_name,point_name,vms_product_number,vms_product_name,inventory_capacity,inventory_quantity,fill_percent_product,slot_code,par_level,min_level
2411000046,HospAlmoa,,114.0,Tiger excellence,7.0,7.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,113.0,Tiger *16 tomato,7.0,6.0,0.8571428571,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,1.0,Dorits cool ranc,7.0,2.0,0.2857142857,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,96.0,Doritos flamin' hot,14.0,12.0,0.8571428571,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,91.0,Tiger *12 Cheese,7.0,2.0,0.2857142857,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,70.0,Indomie,6.0,5.0,0.8333333333,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,52.0,MR Crunch,14.0,8.0,0.5714285714,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,38.0,Lovita cookies,7.0,4.0,0.5714285714,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,37.0,Digestive,12.0,0.0,0,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,25.0,Twix,16.0,9.0,0.5625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,3.0,Maltesers,16.0,7.0,0.4375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,28.0,Snickers,16.0,3.0,0.1875,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,106.0,Toblerone,16.0,11.0,0.6875,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,87.0,mr.bite strike,16.0,14.0,0.875,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,30.0,Mars,16.0,10.0,0.625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,21.0,Laviva,16.0,9.0,0.5625,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,19.0,mr bite,28.0,14.0,0.5,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,12.0,sunTop,24.0,22.0,0.9166666667,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,32.0,SunTop Almarai Chocolate,16.0,12.0,0.75,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,64.0,Almarai Strawberry,8.0,3.0,0.375,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,36.0,Kunuz Juice,8.0,4.0,0.5,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,44.0,Caser Juice,24.0,12.0,0.5,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,29.0,Pepsi,14.0,11.0,0.7857142857,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,54.0,Mirinda,7.0,7.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,99.0,Shani,7.0,5.0,0.7142857143,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,5.0,Schweppes,14.0,9.0,0.6428571429,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,98.0,Barbican,7.0,6.0,0.8571428571,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,11.0,X!R,21.0,12.0,0.5714285714,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2411000046,HospAlmoa,,2.0,Water,60.0,41.0,0.6833333333,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,114.0,Tiger excellence,7.0,6.0,0.8571428571,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,52.0,MR Crunch,14.0,13.0,0.9285714286,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,18.0,Takis,7.0,7.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,91.0,Tiger *12 Cheese,7.0,1.0,0.1428571429,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,96.0,Doritos flamin' hot,21.0,12.0,0.5714285714,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,102.0,Buldak,7.0,7.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
2503000216,(HTMall),,113.0,Tiger *16 tomato,7.0,7.0,1,TO_CONFIRM,TO_CONFIRM,TO_CONFIRM
