sku,name,search_name,image_url,source_url,matched_name,matched_brand,confidence
0087,mr.bite strike,Mr Bite Strike chocolate,,,,,missing
0086,Mrbeast,Mrbeast,,,,,missing
0083,Doritos real,Doritos real,,,,,missing
0082,L suntop,Suntop juice,https://images.openfoodfacts.org/images/products/622/400/826/7034/front_en.4.400.jpg,https://world.openfoodfacts.org/product/6224008267034/suntop-mango-mango-juice,Suntop mango,Mango juice,review
0081,Smsm,Smsm,,,,,missing
0080,Yasmin Penuts,Yasmin peanuts,,,,,missing
0079,Yasmin Almonds,Yasmin Almonds,,,,,missing
0078,Mulino Cookis,Mulino cookies,,,,,missing
0077,Saminsa,Saminsa,,,,,missing
0076,koren Indomie,Korean Indomie noodles,,,,,missing
0075,Twix ex,Twix extra chocolate bar,,,,,missing
0074,HiPro,HiPro,https://images.openfoodfacts.org/images/products/303/349/148/2953/front_fr.125.400.jpg,https://world.openfoodfacts.org/product/3033491482953/hipro-myrtille-bosbes-danone,Hipro Myrtille,Danone,low
0073,Rani,Rani,,,,,missing
0072,Roshetto,Roshetto,,,,,missing
0071,MrCrunch-RingGo,MrCrunch-RingGo,,,,,missing
0070,Indomie,Indomie,,,,,missing
0069,ToraBika capp,Torabika cappuccino,https://images.openfoodfacts.org/images/products/899/600/141/4002/front_en.64.400.jpg,https://world.openfoodfacts.org/product/8996001414002/torabika-cappuccino-kopiko,Torabika Cappuccino,Kopiko,review
0067,Nuts,mixed nuts snack pack,,,,,missing
0065,Dallas juice,Dallas juice,,,,,missing
0064,SunTop Almarai Strawberry,SunTop Almarai Strawberry,,,,,missing
0063,PopCorn Chocolate,PopCorn Chocolate,,,,,missing
0062,Jannaty,Jannaty,,,,,missing
0061,Prime,Prime,,,,,missing
0060,zigi marinated peanuts,zigi marinated peanuts,https://images.openfoodfacts.org/images/products/380/020/045/0448/front_en.8.400.jpg,https://world.openfoodfacts.org/product/3800200450448/marinated-peanuts-sweet-chili-zigi,Marinated Peanuts sweet chili,Zigi,review
0059,Toren Dark Chocolate,Toren Dark Chocolate,,,,,missing
0058,Today Chocolate,Today Chocolate,,,,,missing
0057,ifruit juice,ifruit juice,,,,,missing
0056,Bourbon biscuit,Bourbon biscuit,https://images.openfoodfacts.org/images/products/890/106/313/9329/front_en.14.400.jpg,https://world.openfoodfacts.org/product/8901063139329/bourbon-britannia,bourbon,"britannia,",review
0055,Tropia,Tropia,https://images.openfoodfacts.org/images/products/869/741/405/4624/front_en.3.400.jpg,https://world.openfoodfacts.org/product/8697414054624/tropia,TROPIA,,low
0054,Mirinda apple,Mirinda apple,,,,,missing
0053,7up,7up drink can,,,,,missing
0052,MR Crunch cheese,MR Crunch cheese,,,,,missing
0051,Justo Drink,Justo Drink,https://images.openfoodfacts.org/images/products/762/753/529/1746/front_it.26.400.jpg,https://world.openfoodfacts.org/product/7627535291746/high-protein-vanilla-taste-drink-coop,High Protein Vanilla Taste Drink,Coop,low
0050,Ivsar water,Ivsar water,,,,,missing
0049,Haribo,Haribo,,,,,missing
0048,Kinder bueno1stick,Kinder Bueno single bar,,,,,missing
0046,Chocolate Drink,chocolate milk drink,https://images.openfoodfacts.org/images/products/611/124/210/2552/front_en.47.400.jpg,https://world.openfoodfacts.org/product/6111242102552/dessert-gourmand-choco-jaouda,Dessert gourmand choco,Jaouda,review
0045,Natural Grape,grape juice bottle,,,,,missing
0044,Caser Juice,Caesar juice,,,,,missing
0043,MrCrunch,MrCrunch,,,,,missing
0042,Green,Green Cola can,,,,,missing
0041,Pretzels,Pretzels,,,,,missing
0040,KitKat,KitKat,https://images.openfoodfacts.org/images/products/844/529/072/8791/front_de.103.400.jpg,https://world.openfoodfacts.org/product/8445290728791/kitkat-cereal-nestle,KitKat Cereal,Nestlé,low
0039,Feiny Biscuits,Feiny Biscuits,,,,,missing
0038,Lovita cookies,Lovita cookies,,,,,missing
0037,Digestive,Digestive,,,,,missing
0036,Kunuz Juice,Kunuz Juice,,,,,missing
0035,Sirma,Sirma,,,,,missing
0033,Corissant Karuzo,Karuzo croissant,,,,,missing
0032,SunTop Almarai Chocolate,SunTop Almarai Chocolate,,,,,missing
0031,Rauch Drink,Rauch Drink,https://images.openfoodfacts.org/images/products/900/870/019/3634/front_en.48.400.jpg,https://world.openfoodfacts.org/product/9008700193634/kombucha-classic-carpe-diem,Kombucha classic,"Carpe Diem, Rauch",review
0030,Mars,Mars,,,,,missing
0029,Pepsi,Pepsi,,,,,missing
0028,Snickers,Snickers,,,,,missing
0027,Gardena,Gardena,https://images.openfoodfacts.org/images/products/000/008/000/1485/front_fr.7.400.jpg,https://world.openfoodfacts.org/product/80001485/loacker-gardena-coconut-wafers,Loacker Gardena Coconut Wafers,Loacker,low
0026,Bounty,Bounty,https://images.openfoodfacts.org/images/products/500/015/955/7771/front_en.125.400.jpg,https://world.openfoodfacts.org/product/5000159557771/bounty,Bounty 2er,Bounty,low
0025,Twix,Twix,,,,,missing
0024,kinder delice,kinder delice,https://images.openfoodfacts.org/images/products/800/050/026/7035/front_es.363.400.jpg,https://world.openfoodfacts.org/product/8000500267035/kinder-delice,kinder delice,Kinder,review
0023,Freez,Freez,,,,,missing
0022,bonart,bonart,,,,,missing
0021,Laviva,Laviva,https://images.openfoodfacts.org/images/products/869/050/406/5395/front_en.12.400.jpg,https://world.openfoodfacts.org/product/8690504065395/laviva-ulker,Laviva,Ülker,low
0020,mm,m&m chocolate,https://images.openfoodfacts.org/images/products/500/015/949/2737/front_en.89.400.jpg,https://world.openfoodfacts.org/product/5000159492737/m-m-s-peanut-mars-wrigley,M&M's peanut,Mars Wrigley,low
0019,mr bite,mr bite,https://images.openfoodfacts.org/images/products/868/478/778/0755/front_en.3.400.jpg,https://world.openfoodfacts.org/product/8684787780755/toren-mr-bite-groan-dubai,Toren Mr. Bite Groan Dubai,,review
0018,Takis,Takis,https://images.openfoodfacts.org/images/products/841/260/002/8599/front_en.63.400.jpg,https://world.openfoodfacts.org/product/8412600028599/%D8%AA%D8%A7%D9%83%D9%8A%D8%B3-%D9%81%D9%88%D9%8A%D8%AC%D9%88-takis,تاكيس فويجو,Takis,low
0017,Doritos Dinamita,Doritos Dinamita,,,,,missing
0016,wafe'up,wafe'up,https://images.openfoodfacts.org/images/products/869/052/605/5640/front_en.17.400.jpg,https://world.openfoodfacts.org/product/8690526055640/eti-wafe-up-extra-hazelnut-wafer,Eti Wafe'up extra Hazelnut Wafer,Eti,review
0015,kinza lemon,kinza lemon,,,,,missing
0014,Kinder Bueno,Kinder Bueno,https://images.openfoodfacts.org/images/products/000/008/005/2760/front_en.503.400.jpg,https://world.openfoodfacts.org/product/80052760/bueno-kinder,Kinder Bueno,Kinder,review
0012,sunTop,sunTop,https://images.openfoodfacts.org/images/products/628/101/203/3178/front_en.12.400.jpg,https://world.openfoodfacts.org/product/6281012033178/suntop-orange-125ml-sun-top,Suntop orange 125ml,sun top,low
0011,X!R,X!R,,,,,missing
0010,Skittles,Skittles,https://images.openfoodfacts.org/images/products/500/015/937/6655/front_en.69.400.jpg,https://world.openfoodfacts.org/product/5000159376655/skittles-fruits-38g-mars-norge-as,38G SKITTLES SACHET,Mars norge as,low
0009,Pepsi 500ml,Pepsi 500ml,,,,,missing
0008,Xo Energy,Xo Energy,,,,,missing
0006,Tiger *12 cheese,Tiger *12 cheese,,,,,missing
0005,Schweppes,Schweppes,,,,,missing
0004,Skittles drink,Skittles drink,,,,,missing
0003,Maltesers,Maltesers,https://images.openfoodfacts.org/images/products/500/015/955/5739/front_fr.20.400.jpg,https://world.openfoodfacts.org/product/5000159555739/maltesers,Maltesers,Maltesers,low
0002,Water,bottled water,https://images.openfoodfacts.org/images/products/007/874/204/0370/front_en.55.400.jpg,https://world.openfoodfacts.org/product/0078742040370/purified-drinking-water-great-value,Purified Drinking Water,Great Value,review
0001,Doritos,Doritos,,,,,missing
e7e30487,Tiger paprika,Tiger paprika,https://images.openfoodfacts.org/images/products/020/003/000/8094/front_fr.4.400.jpg,https://world.openfoodfacts.org/product/0200030008094/paprika-grill-mix-tiger,Paprika grill mix,Tiger,review
52c15a06,Tiger kebab,Tiger kebab,,,,,missing
9f3ec79c,Tiger chili and lemon,Tiger chili and lemon,,,,,missing
492147d3,Tiger tomato,Tiger tomato,,,,,missing
e509f31d,Tiger sweet chili,Tiger sweet chili,,,,,missing
308fcfb2,MR Crunch Crunchy fries,MR Crunch Crunchy fries,,,,,missing
e28d366b,Mr Crunch Veggys,Mr Crunch Veggys,,,,,missing
6670c5c1,Vita go,Vita go,,,,,missing
2a5b5163,Coco mix,Coco mix,https://images.openfoodfacts.org/images/products/322/982/078/4939/front_fr.164.400.jpg,https://world.openfoodfacts.org/product/3229820784939/lait-de-coco-fluide-bjorg,Lait de coco fluide,Bjorg,low
364fe321,Caesar mango,Caesar mango,,,,,missing
69692785,Bebeto,Bebeto,https://images.openfoodfacts.org/images/products/869/014/665/8313/front_fr.40.400.jpg,https://world.openfoodfacts.org/product/8690146658313/bebeto-funny-bears-jelly-gum,Bebeto Funny bears jelly gum,Bebeto,low
f3465619,Sweeto,Sweeto,,,,,missing
d0a21a3b,Browniz moulin,Browniz moulin,,,,,missing
d0f577e2,Marie biscuit,Marie biscuit,https://images.openfoodfacts.org/images/products/843/416/543/7418/front_fr.51.400.jpg,https://world.openfoodfacts.org/product/8434165437418/cuetara-digesta-light-200g-marie-cookies,Cuetara Digesta Light 200G Marie Cookies,Cuétara,review
2f2e7440,Crico,Crico,,,,,missing
12b96290,Doritos nacho,Doritos nacho,https://images.openfoodfacts.org/images/products/316/893/017/4219/front_fr.3.400.jpg,https://world.openfoodfacts.org/product/3168930174219/tortillas-chips-nacho-cheese-doritos,Tortillas chips Nacho cheese,Doritos,review
73c36157,Alain mini cola,Alain mini cola,,,,,missing
cc35c9db,Buldak,Buldak,https://images.openfoodfacts.org/images/products/880/107/311/6467/front_en.69.400.jpg,https://world.openfoodfacts.org/product/8801073116467/buldak-hot-chicken-flavor-ramen-samyang,Buldak Hot Chicken Flavor Ramen,Samyang,low
d5b5f9d1,Doritos green hot,Doritos green hot,,,,,missing
78233e6f,Barbican,Barbican,https://images.openfoodfacts.org/images/products/628/103/490/2629/front_en.8.400.jpg,https://world.openfoodfacts.org/product/6281034902629/strawberry-flavoured-carbonated-malt-beverage-barbican,Strawberry Flavoured Carbonated Malt Beverage,Barbican,low
0af806f8,Doritos red hot,Doritos red hot,,,,,missing
bb6c2490,Mr Crunch Tarbouch,Mr Crunch Tarbouch,,,,,missing
b77b1c64,Bonucci souffle,Bonucci souffle,,,,,missing
83dd14b5,Coach suntop,Coach suntop,,,,,missing
ccaf1c68,Wafer Laviva,Wafer Laviva,https://images.openfoodfacts.org/images/products/868/350/802/0798/front_en.3.400.jpg,https://world.openfoodfacts.org/product/8683508020798/ulker-laviva-gourmet-wafer,Ulker Laviva Gourmet Wafer,,review
a3f74383,Shani,Shani,,,,,missing
ed187a9e,X!R  BERRY,X!R  BERRY,,,,,missing
bfd1b639,Xr mango,Xr mango,,,,,missing
b112660a,Caesar berry,Caesar berry,,,,,missing
649eaeb5,Schwppes,Schwppes,,,,,missing
f38e69c5,Schweppes,Schweppes,https://images.openfoodfacts.org/images/products/312/448/018/4344/front_fr.119.400.jpg,https://world.openfoodfacts.org/product/3124480184344/orangina,Orangina et sa pulpe,"Orangina,Orangina Schweppes France,Schweppes International Limited",low
3e9fa8d9,Kinza cola,Kinza cola,,,,,missing
27febea6,Maxxx chips,Maxxx chips,https://images.openfoodfacts.org/images/products/619/158/520/0443/front_fr.3.400.jpg,https://world.openfoodfacts.org/product/6191585200443/maxxx-chips-barbecue,Maxxx chips barbecue,,review
3945efc9,Mulino  oat cookies,Mulino  oat cookies,,,,,missing
c099f042,Tiger excellence,Tiger excellence,https://images.openfoodfacts.org/images/products/622/203/520/5739/front_en.3.400.jpg,https://world.openfoodfacts.org/product/6222035205739/tiger-excellence,Tiger Excellence,,review
cd21eb57,Chillax corn chips,Chillax corn chips,,,,,missing
b3204174,Shocks potato,Shocks potato,,,,,missing
360bd4d4,Lexus,Lexus,,,,,missing
f30d8158,Savi stix,Savi stix,,,,,missing
cf6c9481,Turbo strips,Turbo strips,,,,,missing
ee3cf870,Wellness,Wellness,https://images.openfoodfacts.org/images/products/860/004/300/4533/front_en.32.400.jpg,https://world.openfoodfacts.org/product/8600043004533/wellness-suvo-gro%C5%BE%C4%91e-bambi,Wellness suvo grožđe,Bambi,low
7cd3aac7,Toblerone,Toblerone,,,,,missing
9d0be7b3,Milka choco cow,Milka choco cow,https://images.openfoodfacts.org/images/products/762/230/086/4057/front_fr.59.400.jpg,https://world.openfoodfacts.org/product/7622300864057/milka-choco-cow,Milka Choco Cow,Milka,review
0f694cb5,Vitrac,Vitrac,https://images.openfoodfacts.org/images/products/622/102/422/0012/front_fr.17.400.jpg,https://world.openfoodfacts.org/product/6221024220012/confiture-de-fraise-light-vitrac,Confiture de Fraise Light Vitrac,,low
d8e8d66a,Shada,Shada,,,,,missing
1b6b5ed6,Rayhan,Rayhan,https://images.openfoodfacts.org/images/products/613/207/540/0066/front_fr.4.400.jpg,https://world.openfoodfacts.org/product/6132075400066/rayhan-best-vinaigre,Rayhan Best vinaigre,Rayhan,low
c80ae9f2,Yumi Zak,Yumi Zak,,,,,missing
1039e79c,Activ,Activ,https://images.openfoodfacts.org/images/products/871/920/001/2516/front_fr.62.400.jpg,https://world.openfoodfacts.org/product/8719200012516/tartine-sans-huile-de-palme-fruit-d-or-proactiv,Tartine sans huile de palme,"Fruit d'Or ProActiv,ProActiv,ProActiv Expert,pro activ",low
cb9e809e,Sweeto Jelly,Sweeto Jelly,,,,,missing
a19879cf,Galaxy Wafer roll,Galaxy Wafer roll,,,,,missing
27c8f623,Bounty Wafer roll,Bounty Wafer roll,,,,,missing
02d86a9b,Twix wafer roll,Twix wafer roll,https://images.openfoodfacts.org/images/products/021/253/401/0671/front_en.3.400.jpg,https://world.openfoodfacts.org/product/0212534010671/twix-wafer-rolls,TWIX WAFER ROLLS,,review
57a5617b,Mirinda orange,Mirinda orange,https://images.openfoodfacts.org/images/products/611/125/242/0370/front_en.26.400.jpg,https://world.openfoodfacts.org/product/6111252420370/mirinda-orange-1-5,"Mirinda orange 1,5",Mirinda,review
bb4d1bd1,Snickers wafer roll,Snickers wafer roll,,,,,missing
406a1fee,Mirinda Bitter Soda,Mirinda Bitter Soda,,,,,missing
561399a6,Yupi,Yupi,,,,,missing
e9e2a383,Be happy,Be happy,,,,,missing
8ed00567,BEM&Bo,BEM&Bo,https://images.openfoodfacts.org/images/products/868/209/110/8616/front_en.3.400.jpg,https://world.openfoodfacts.org/product/8682091108616/bem-bo-sour-belt,BEM&BO Sour Belt,,review
220a28b9,Milka,Milka,,,,,missing
f998044c,Kinder schokolade,Kinder schokolade,,,,,missing
70bdbe11,Schweppes pineapple,Schweppes pineapple,,,,,missing
eda833ca,Mr crunch normal,Mr crunch normal,,,,,missing
951a092f,Daddy chips,Daddy chips,,,,,missing
6c787857,Minicco,Minicco,,,,,missing
7221daf3,Milka,Milka,,,,,missing
c22010ef,Doritos ketchup jalapeno,Doritos ketchup jalapeno,,,,,missing
