vms_product_number,vms_product_name,appsheet_item_id,appsheet_item_name,clean_name,name_key
87,mr.bite strike,0087,mr.bite strike,mr.bite strike,mrbitestrike
86,Mrbeast,0086,Mrbeast,mrbeast,mrbeast
83,Doritos real,0083,Doritos real,doritos real,doritosreal
82,L suntop,0082,L suntop,l suntop,lsuntop
81,Smsm,0081,Smsm,smsm,smsm
80,Yasmin Penuts,0080,Yasmin Penuts,yasmin penuts,yasminpenuts
79,Yasmin Almonds,0079,Yasmin Almonds,yasmin almonds,yasminalmonds
78,Mulino Cookis,0078,Mulino Cookis,mulino cookis,mulinocookis
77,Saminsa,0077,Saminsa,saminsa,saminsa
76,koren Indomie,0076,koren Indomie,koren indomie,korenindomie
75,Twix ex,0075,Twix ex,twix ex,twixex
74,HiPro,0074,HiPro,hipro,hipro
73,Rani,0073,Rani,rani,rani
72,Roshetto,0072,Roshetto,roshetto,roshetto
71,MrCrunch-RingGo,0071,MrCrunch-RingGo,mrcrunch-ringgo,mrcrunchringgo
70,Indomie,0070,Indomie,indomie,indomie
TO_CONFIRM,TO_CONFIRM,0069,ToraBika capp,torabika capp,torabikacapp
67,Nuts,0067,Nuts,nuts,nuts
65,Dallas juice,0065,Dallas juice,dallas juice,dallasjuice
TO_CONFIRM,TO_CONFIRM,0064,SunTop Almarai Strawberry,suntop almarai strawberry,suntopalmaraistrawberry
63,PopCorn Chocolate,0063,PopCorn Chocolate,popcorn chocolate,popcornchocolate
62,Jannaty,0062,Jannaty,jannaty,jannaty
61,Prime,0061,Prime,prime,prime
60,zigi marinated peanuts,0060,zigi marinated peanuts,zigi marinated peanuts,zigimarinatedpeanuts
59,Toren Dark Chocolate,0059,Toren Dark Chocolate,toren dark chocolate,torendarkchocolate
58,Today Chocolate,0058,Today Chocolate,today chocolate,todaychocolate
57,ifruit juice,0057,ifruit juice,ifruit juice,ifruitjuice
56,Bourbon biscuit,0056,Bourbon biscuit,bourbon biscuit,bourbonbiscuit
55,Tropia,0055,Tropia,tropia,tropia
TO_CONFIRM,TO_CONFIRM,0054,Mirinda apple,mirinda apple,mirindaapple
53,7up,0053,7up,7up,7up
TO_CONFIRM,TO_CONFIRM,0052,MR Crunch cheese,mr crunch cheese,mrcrunchcheese
51,Justo Drink,0051,Justo Drink,justo drink,justodrink
50,Ivsar water,0050,Ivsar water,ivsar water,ivsarwater
49,Haribo,0049,Haribo,haribo,haribo
48,Kinder bueno1stick,0048,Kinder bueno1stick,kinder bueno1stick,kinderbueno1stick
TO_CONFIRM,TO_CONFIRM,0046,Chocolate Drink,chocolate drink,chocolatedrink
45,Natural Grape,0045,Natural Grape,natural grape,naturalgrape
44,Caser Juice,0044,Caser Juice,caser juice,caserjuice
52,MR Crunch,0043,MrCrunch,mrcrunch,mrcrunch
42,Green,0042,Green,green,green
41,Pretzels,0041,Pretzels,pretzels,pretzels
40,KitKat,0040,KitKat,kitkat,kitkat
TO_CONFIRM,TO_CONFIRM,0039,Feiny Biscuits,feiny biscuits,feinybiscuits
38,Lovita cookies,0038,Lovita cookies,lovita cookies,lovitacookies
37,Digestive,0037,Digestive,digestive,digestive
36,Kunuz Juice,0036,Kunuz Juice,kunuz juice,kunuzjuice
35,Sirma,0035,Sirma,sirma,sirma
33,Corissant Karuzo,0033,Corissant Karuzo,corissant karuzo,corissantkaruzo
TO_CONFIRM,TO_CONFIRM,0032,SunTop Almarai Chocolate,suntop almarai chocolate,suntopalmaraichocolate
31,Rauch Drink,0031,Rauch Drink,rauch drink,rauchdrink
30,Mars,0030,Mars,mars,mars
29,Pepsi,0029,Pepsi,pepsi,pepsi
28,Snickers,0028,Snickers,snickers,snickers
27,Gardena,0027,Gardena,gardena,gardena
26,Bounty,0026,Bounty,bounty,bounty
25,Twix,0025,Twix,twix,twix
24,kinder delice,0024,kinder delice,kinder delice,kinderdelice
23,Freez,0023,Freez,freez,freez
22,bonart,0022,bonart,bonart,bonart
21,Laviva,0021,Laviva,laviva,laviva
20,m&m,0020,mm,mm,mm
19,mr bite,0019,mr bite,mr bite,mrbite
18,Takis,0018,Takis,takis,takis
17,Doritos Dinamita,0017,Doritos Dinamita,doritos dinamita,doritosdinamita
16,wafe'up,0016,wafe'up,wafe'up,wafeup
TO_CONFIRM,TO_CONFIRM,0015,kinza lemon,kinza lemon,kinzalemon
14,Kinder Bueno,0014,Kinder Bueno,kinder bueno,kinderbueno
12,sunTop,0012,sunTop,suntop,suntop
11,X!R,0011,X!R,x!r,xr
10,Skittles,0010,Skittles,skittles,skittles
9,Pepsi 500ml,0009,Pepsi 500ml,pepsi 500ml,pepsi500ml
8,Xo Energy,0008,Xo Energy,xo energy,xoenergy
91,Tiger *12 Cheese,0006,Tiger *12 cheese,tiger *12 cheese,tiger12cheese
5,Schweppes,0005,Schweppes,schweppes,schweppes
4,Skittles drink,0004,Skittles drink,skittles drink,skittlesdrink
3,Maltesers,0003,Maltesers,maltesers,maltesers
2,Water,0002,Water,water,water
TO_CONFIRM,TO_CONFIRM,0001,Doritos,doritos,doritos
TO_CONFIRM,TO_CONFIRM,e7e30487,Tiger paprika,tiger paprika,tigerpaprika
TO_CONFIRM,TO_CONFIRM,52c15a06,Tiger kebab,tiger kebab,tigerkebab
TO_CONFIRM,TO_CONFIRM,9f3ec79c,Tiger chili and lemon,tiger chili and lemon,tigerchiliandlemon
TO_CONFIRM,TO_CONFIRM,492147d3,Tiger tomato,tiger tomato,tigertomato
TO_CONFIRM,TO_CONFIRM,e509f31d,Tiger sweet chili,tiger sweet chili,tigersweetchili
TO_CONFIRM,TO_CONFIRM,308fcfb2,MR Crunch Crunchy fries,mr crunch crunchy fries,mrcrunchcrunchyfries
